Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
Osasuna,Celta Vigo,Home,Home,3-3-4 B,3-3-4 A,Wing play,Zonal marking,No,Aggresive,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,67,75,73,63,37,3,0,17,6,Maybe using the Offside trap wasn't such a bad idea against today's opponent. I saw some opportunities.,Home Wins,You Won
Millwall,Swansea,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,82,78,77,34,66,0,2,5,12,,Away Wins,You won
Wolfburg,Schalke,Home,Away,4-4-2 B,4-2-3-1,Shoot on sight,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,50,29,70,55,45,1,0,6,4,Liking that Style of play with this Formation. I think the players enjoyed it too! I really liked the tactical choices today. It's just unlucky they didn't get the win today if you ask me!,Home Wins,You lost
Valladolid,Osasuna,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Protect the defence,Attacking full-backs,82,78,77,45,55,0,1,8,9,Zonal marking against these forwards? I think it was the right call!,Away Wins,You won
PSIS,Persis,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Aggresive,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,65,35,5,0,16,4,,Home Wins,You Won
Atletico Madrid,Osasuna,Home,Away,4-3-3 A,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Careful,No,No,Attack only,Protect the defence,Attacking full-backs,82,78,77,62,38,2,0,15,9,,Home Wins,You lost
Osasuna,Elche,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Careful,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,82,78,77,58,42,3,0,9,7,,Home Wins,You Won
PSIS,Persis,Home,Home,3-3-4 B,3-3-4 A,Wing play,Zonal marking,Yes,Normal,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,77,78,78,65,35,5,0,20,4,,Home Wins,You Won
Swansea,Huddersfield,Home,Home,4-4-2 B,3-3-2-2,Shoot on sight,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,57,61,39,2,0,8,5,Luckily this referee can handle that kind of Tackling. Great fit!,Home Wins,You Won
Schalke,Dortmund,Away,Home,4-5-1,4-2-3-1,Shoot on sight,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,62,21,59,49,51,1,3,5,6,Liking that Style of play with this Formation. I think the players enjoyed it too!,Away Wins,You lost
