Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
Swansea,Watford,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Careful,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,64,36,4,1,13,8,,Home Wins,You Won
Schalke,Mainz,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Wing play,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,69,67,73,65,35,5,0,18,6,,Home Wins,You Won
Real Betis,Osasuna,Away,Away,4-3-3 B,4-3-3 A,Shoot on sight,Zonal marking,No,Aggresive,Wing play,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,65,77,66,30,70,0,4,3,18,,Away Wins,You won
PSIS,Arema,Home,Home,4-5-1,4-2-3-1,Shoot on sight,Zonal marking,No,Careful,Counter-attack,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,61,63,79,65,35,5,0,12,1,,Home Wins,You Won
Coventry City,Swansea,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,30,70,0,1,4,12,,Away Wins,You won
Osasuna,Sevilla,Home,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Normal,Shoot on sight,Zonal marking,No,Reckless,No,No,Attack only,Stay in position,Defend deep,66,77,66,60,40,0,0,18,10,,Draw,Draw
VfL Bochum,Schalke,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Aggresive,No,No,Attack only,Push Forward,Defend deep,76,77,76,31,69,0,4,4,11,,Away Wins,You won
Swansea,Stoke City,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,61,39,1,0,13,2,Zonal marking against these forwards? I think it was the right call!,Home Wins,You Won
Persik,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Passing game,Man marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,66,67,78,30,70,0,1,5,13,,Away Wins,You won
Osasuna,Atletico Madrid,Away,Home,4-5-1,4-3-3 A,Shoot on sight,Zonal marking,No,Reckless,Passing game,Zonal marking,No,Aggresive,Yes,Yes,Attack only,Protect the defence,Defend deep,40,20,25,45,55,0,2,5,8,That injury could have been the consequence of the team's reckless Tackling!,Away Wins,You lost
Schalke,VfL Wolfsburg,Home,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,65,77,66,63,37,3,0,12,4,,Home Wins,You Won
Wigan Athletic,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,71,30,70,0,4,2,13,,Away Wins,You won
Persis Solo,PSIS,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Attacking full-backs,85,79,79,39,61,0,1,6,9,Liking that Style of play with this Formation. I think the players enjoyed it too!,Away Wins,You won
Celta Vigo,Osasuna,Away,Away,4-4-2 B,4-3-3 B,Wing play,Man marking,No,Normal,Wing play,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,58,67,58,34,66,0,0,8,14,That Style of play really linked with the Formation. Good combination if you ask me!,Draw,Draw
Borussia Dortmund,Schalke,Away,Away,4-2-3-1,6-3-1 B,Shoot on sight,Zonal marking,No,Aggresive,Counter-attack,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,78,78,78,42,58,1,1,5,7,"Purely looking at the back line, not using the Offside trap played out well against this opponent!",Draw,Draw
Birmingham City,Swansea,Away,Away,4-4-2 B,4-3-3 B,Wing play,Man marking,No,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,58,67,58,30,70,0,5,4,19,,Away Wins,You won
Borneo,PSIS,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,73,71,71,38,62,0,2,6,9,"This is the way it should be in my opinion, an attacking Style against an opponent with less quality!",Away Wins,You won
Osasuna,Valladolid,Home,Home,4-3-3 B,3-3-4 A,Wing play,Zonal marking,No,Careful,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,71,71,71,67,33,7,0,16,6,,Home Wins,You Won
Schalke,VfB Stuttgart,Home,Home,4-5-1,4-2-3-1,Wing play,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,61,63,79,61,39,1,0,10,1,Choosing Zonal marking was the right choice against this opponent. Good call!,Home Wins,You Won
Swansea,Middlesbrough,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,58,63,37,3,0,12,5,,Home Wins,You Won
PSIS,Barito Putera,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Aggresive,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,63,37,3,0,15,5,,Home Wins,You Won
Elche,Osasuna,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,75,75,75,41,59,0,3,6,9,Zonal marking against these forwards? I think it was the right call!,Away Wins,You won
Borussia Monchengladbach,Schalke,Away,Away,4-3-3 B,4-3-3 A,Shoot on sight,Zonal marking,No,Aggresive,Wing play,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,65,77,66,30,70,0,1,3,18,,Away Wins,You won
Norwich City,Swansea,Home,Away,4-3-3 B,4-5-1,Wing play,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,50,35,65,61,39,3,0,12,7,Luckily this referee can handle that kind of Tackling. Great fit!,Home Wins,You lost
Bali United,PSIS,Away,Away,4-2-3-1,4-5-1,Long ball,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,73,75,77,30,70,0,1,2,14,,Away Wins,You won
Osasuna,Almeria,Home,Home,4-5-1,4-2-3-1,Wing play,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,61,63,79,63,37,3,0,14,4,,Home Wins,You Won
PSIS,Persib,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Normal,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,66,34,6,0,19,4,,Home Wins,You Won
West Bromwich Albion,Swansea,Away,Away,3-3-4 A,4-3-3 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,71,71,71,30,70,0,2,4,16,,Away Wins,You won
Bayer 04 Leverkusen,Schalke,Home,Away,3-4-3 B,3-5-2,Passing game,Man marking,No,Careful,Shoot on sight,Man marking,Yes,Careful,No,No,Attack only,Stay in position,Defend deep,58,36,54,54,46,0,0,8,6,That was a poor match from the team. I think some tactical changes could make a difference!,Draw,Draw
Rayo Vallecano,Osasuna,Away,Away,3-3-4 A,4-3-3 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,71,71,71,30,70,0,7,5,18,,Away Wins,You won
Persebaya,PSIS,Away,Away,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,30,70,0,8,2,20,,Away Wins,You won
Wigan Athletic,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,37,63,0,3,6,9,The attacking Style really benefited the players against a lesser opponent!,Away Wins,You won
Osasuna,Villareal,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Shoot on sight,Man marking,Yes,Aggresive,No,No,Attack only,Stay in position,Defend deep,71,71,71,63,37,3,0,16,7,The attacking Style really benefited the players against a lesser opponent!,Home Wins,You Won
Borneo,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,30,70,0,5,4,15,,Away Wins,You won
Schalke,Werder Bremen,Home,Home,4-4-2 B,5-3-1-1,Passing game,Zonal marking,No,Careful,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,65,72,65,61,39,1,0,14,4,"That referee is known as a pretty tough one, good thing the players held back.",Home Wins,You Won
Swansea,Millwall,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,53,47,4,0,7,8,Zonal marking against these forwards? I think it was the right call!,Home Wins,You Won
Osasuna,Real Sociedad,Home,Home,4-5-1,4-2-3-1,Wing play,Zonal marking,No,Careful,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,61,63,79,64,36,4,0,13,3,,Home Wins,You Won
PSIS,Dewa United,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Aggresive,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,64,36,4,0,15,6,,Home Wins,You Won
Freiburg,Schalke,Home,Away,4-4-2 B,4-3-3 B,Wing play,Man marking,No,Aggresive,Wing play,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,75,75,75,30,70,0,3,4,20,,Away Wins,You won
Huddersfield Town,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Careful,No,No,Attack only,Push Forward,Defend deep,73,71,71,37,63,1,2,6,11,Good job instructing the players to go easy on the Tackling. Definitely with this trigger-happy referee!,Away Wins,You won
Valencia,Osasuna,Away,Away,4-4-2 B,4-3-3 B,Shoot on sight,Zonal marking,No,Aggresive,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,30,70,0,5,4,15,,Away Wins,You won
Schalke,FC Union Berlin,Home,Home,4-2-3-1,4-5-1,Wing play,Zonal marking,Yes,Aggresive,Counter-attack,Man marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,76,77,76,61,39,1,0,10,5,,Home Wins,You Won
Swansea,Preston North End,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Careful,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,85,79,79,62,38,2,0,14,2,"This is how I like my football! A lot of good chances and the win, beautiful!",Home Wins,You Won
Osasuna,Athletic Bilbao,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Wing play,Man marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,64,36,4,0,15,8,"This is how I like my football! A lot of good chances and the win, beautiful!",Home Wins,You Won
Burnley,Swansea,Away,Away,4-4-2 B,4-3-3 B,Wing play,Zonal marking,No,Aggresive,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,30,70,0,7,5,19,,Away Wins,You won
RB Leipzig,Schalke,Away,Away,3-3-4 A,3-3-4 B,Shoot on sight,Zonal marking,Yes,Reckless,Wing play,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,73,78,76,30,70,0,7,4,19,Maybe using the Offside trap wasn't such a bad idea against today's opponent. I saw some opportunities.,Away Wins,You won
Atletico Madrid,Osasuna,Home,Away,4-3-3 A,5-3-2,Passing game,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,Yes,Yes,Attack only,Protect the defence,Defend deep,31,21,30,63,37,3,0,13,6,Formation and Style of play were definitely not a match made in heaven. I should try something there!,Home Wins,You lost
Swansea,Reading,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,82,78,77,65,35,5,0,14,3,,Home Wins,You Won
Schalke,Hoffenheim,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,82,78,77,64,36,4,0,11,5,,Home Wins,You Won
Barcelona,Osasuna,Away,Away,4-3-3 B,4-3-3 A,Passing game,Man marking,Yes,Aggresive,Wing play,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,65,77,66,29,71,1,6,4,17,,Away Wins,You won
Schalke,Bayern Munchen,Home,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Careful,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,65,77,66,59,41,4,0,12,8,,Home Wins,You Won
Luton Town,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,71,30,70,0,3,4,13,,Away Wins,You won
Schalke,FC Augsburg,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Careful,Wing play,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,75,75,75,62,38,2,0,15,6,The attacking Style really benefited the players against a lesser opponent!,Home Wins,You Won
Swansea,Rotherham United,Home,Home,4-5-1,4-2-3-1,Wing play,Zonal marking,No,Normal,Passing game,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,61,63,79,63,37,3,0,15,3,,Home Wins,You Won
Schalke,Hertha Berlin,Home,Home,4-2-3-1,4-5-1,Wing play,Zonal marking,Yes,Normal,Counter-attack,Man marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,76,77,76,63,37,3,0,12,3,,Home Wins,You Won
Blackpool,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,71,41,59,0,2,6,9,,Away Wins,You won
FC Koln,Schalke,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,71,30,70,0,2,3,13,,Away Wins,You won
Swansea,Queens Park Rangers,Home,Home,4-3-3 B,3-3-4 A,Wing play,Zonal marking,No,Aggresive,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,71,71,71,63,37,3,0,20,2,The attacking Style really benefited the players against a lesser opponent!,Home Wins,You Won
