strength,opponent_formation,opponent_style_of_play,opponent_marking,opponent_offside_trap,opponent_tackling,opponent_training_camp,formation,style_of_play,marking,offside_trap,tackling,training_camp,line_tactic_FW,line_tactic_MF,line_tactic_DF,pressing,style,tempo,goals,opponent_goals,goal_diff,posession,opponent_posession,shots,opponent_shots,result
strong,4-4-2 b,wing play,zonal marking,no,aggresive,no,4-3-3 b,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,75,75,75,7,0,7,70,30,19,5,won
strong,3-3-4 a,shoot on sight,zonal marking,yes,reckless,no,3-3-4 b,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,73,78,76,7,0,7,70,30,19,4,won
weak,4-3-3 a,passing game,zonal marking,no,aggresive,yes,5-3-2,shoot on sight,zonal marking,no,aggresive,yes,attack only,protect the defence,defend deep,31,21,30,0,3,3,37,63,6,13,lost
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,normal,no,attack only,stay in position,attacking full-backs,82,78,77,5,0,5,65,35,14,3,won
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,normal,no,attack only,stay in position,attacking full-backs,82,78,77,4,0,4,64,36,11,5,won
strong,4-3-3 b,passing game,man marking,yes,aggresive,no,4-3-3 a,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,65,77,66,6,1,5,71,29,17,4,won
strong,4-3-3 b,shoot on sight,zonal marking,no,aggresive,no,4-3-3 a,wing play,zonal marking,no,careful,no,attack only,stay in position,defend deep,65,77,66,4,0,4,59,41,12,8,won
strong,4-5-1,counter-attack,man marking,no,normal,no,4-2-3-1,wing play,zonal marking,yes,normal,no,attack only,push forward,defend deep,73,71,71,3,0,3,70,30,13,4,won
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,careful,no,attack only,stay in position,defend deep,75,75,75,2,0,2,62,38,15,6,won
strong,4-2-3-1,passing game,zonal marking,no,normal,no,4-5-1,wing play,zonal marking,no,normal,no,attack only,push forward,defend deep,61,63,79,3,0,3,63,37,15,3,won
strong,4-5-1,counter-attack,man marking,no,normal,no,4-2-3-1,wing play,zonal marking,yes,normal,no,attack only,push forward,defend deep,76,77,76,3,0,3,63,37,12,3,won
strong,4-5-1,counter-attack,man marking,no,normal,no,4-2-3-1,wing play,zonal marking,yes,normal,no,attack only,push forward,defend deep,73,71,71,2,0,2,59,41,9,6,won
strong,4-5-1,counter-attack,man marking,no,normal,no,4-2-3-1,wing play,zonal marking,yes,normal,no,attack only,push forward,defend deep,73,71,71,2,0,2,70,30,13,3,won
strong,3-3-4 a,long ball,zonal marking,yes,normal,no,4-3-3 b,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,71,71,71,3,0,3,63,37,20,2,won
